deposit_month,deposits,total_deposited,avg_deposit
2024-02,1,50.0,50.0
2024-03,6,205.0,34.17
2024-04,4,75.0,18.75
2024-05,20,445.0,22.25
2024-06,16,390.0,24.38
2024-07,18,400.0,22.22
2024-08,10,200.0,20.0
2024-09,16,320.0,20.0
2024-10,18,360.0,20.0
2024-11,14,270.0,19.29
2024-12,21,420.0,20.0
2025-01,10,200.0,20.0
2025-02,4,100.0,25.0
2025-03,0,0.0,
2025-04,4,70.0,17.5
2025-05,9,180.0,20.0
2025-06,5,95.0,19.0
2025-07,9,215.0,23.89
2025-08,11,220.0,20.0
2025-09,8,145.0,18.13
2025-10,11,200.0,18.18
2025-11,4,75.0,18.75
